Name;Year;Durasi(Menit);Rating;Rated;Budget;Gross_Us;Opening_Week;Open_Week_Date;Gross_World;Runtime;Color;Sound_Mix;Aspect_Ratio
Blade Runner;1982;117.0;8.1;AA;28000000;32914489;6150002;1982-06-27 00:00:00;41757237;117;Color;Dolby Atmos;2.39 : 1
Before Sunrise;1995;101.0;8.1;15;2500000;5535405;1423537;1995-01-29 00:00:00;5993086;0;;;
Barry Lyndon;1975;185.0;8.1;PG;0;0;0;1900-01-01 00:00:00;0;0;;;
The Grand Budapest Hotel;2014;99.0;8.1;15;25000000;59301324;811166;2014-03-09 00:00:00;174567384;0;;;
Mad Max: Fury Road;2015;;8.1;15;150000000;154280290;45428128;2015-05-17 00:00:00;380418444;0;Color;Dolby DigitalDatasatSDDSDolby Atmos;2.39 : 1
Gone Girl;2014;149.0;8.1;18;61000000;167767189;37513109;2014-10-05 00:00:00;370890259;149;Color;Dolby DigitalDolby AtmosDatasatDolby Surround 7.1;2.39 : 1
Hacksaw Ridge;2016;139.0;8.1;15;40000000;67209615;15190758;2016-11-06 00:00:00;180563636;139;Color;Dolby Atmos;2.35 : 1
Dead Poets Society;1989;128.0;8.1;PG;16400000;95860116;340456;1989-06-04 00:00:00;235860116;0;;;
The Gold Rush;1925;95.0;8.1;U;0;0;0;1900-01-01 00:00:00;0;95;Black and White;Silent(original release);1.33 : 1
Memories of Murder;2003;131.0;8.1;15;2800000;15357;4487;2005-07-17 00:00:00;1208481;131;Color;Dolby Digital;1.85 : 1
In the Name of the Father;1993;133.0;8.1;15;13000000;25096862;109805;1994-01-02 00:00:00;65796862;133;Color;Dolby StereoDTS;1.85 : 1
Wild Tales;2014;122.0;8.1;15;3300000;3106530;85100;2015-02-22 00:00:00;31478893;122;Color;Dolby Surround 7.1;2.35 : 1
Monsters, Inc.;2001;92.0;8.1;U;115000000;290642256;62577067;2001-11-04 00:00:00;579723768;92;Color;SDDSDolby Digital;1.85 : 1
The Deer Hunter;1978;183.0;8.1;X;0;0;0;1900-01-01 00:00:00;0;0;;;
The General;1926;78.0;8.1;U;0;0;0;1900-01-01 00:00:00;0;0;;;
On the Waterfront;1954;108.0;8.1;PG;0;0;0;1900-01-01 00:00:00;0;0;;;
Sherlock Jr.;1924;;8.2;U;0;0;0;1900-01-01 00:00:00;0;0;Black and White;Silent;1.33 : 1
