Name,Budget,Gross_Us,Opening_Week,Open_Week_Date,Gross_World,Runtime,Color,Sound_Mix,Aspect_Ratio
Jaws,7000000,266567580,7061513,1975-06-22 00:00:00,477220580,0,None,None,None
The Third Man,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
The Wages of Fear,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Mary and Max,0,0,0,1900-01-01 00:00:00,0,92,ColorBlack and White,Dolby Digital,1.85 : 1
Wild Strawberries,0,0,0,1900-01-01 00:00:00,0,91,Black and White,Mono,1.37 : 1
Ratatouille,150000000,206445654,47027395,2007-07-01 00:00:00,623728318,111,Color,SDDSDolby DigitalDolby Atmos,2.39 : 1
Mr. Smith Goes to Washington,1900000,144738,83205,2018-10-14 00:00:00,145941,0,None,None,None
Le Mans '66,97600000,117624357,31474958,2019-11-17 00:00:00,225508210,152,Color,Dolby AtmosDolby Digital,2.39 : 1
Tokyo Story,0,0,0,1900-01-01 00:00:00,0,136,Black and White,Mono,1.37 : 1
The Big Lebowski,15000000,19301403,5533844,1998-03-08 00:00:00,48066229,0,None,None,None
Room,13000000,14677654,118298,2015-10-18 00:00:00,35402766,118,Color,Dolby DigitalDatasatDolby Atmos,2.35 : 12.39 : 1
Rocky,0,0,0,1900-01-01 00:00:00,0,0,Color,MonoDolby Digital,1.85 : 1
The Seventh Seal,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Logan,97000000,226277068,88411916,2017-03-05 00:00:00,619180476,137,Color,Dolby AtmosDolby DigitalDolby Surround 7.1SDDS,2.39 : 1
Spotlight,20000000,45055776,295009,2015-11-08 00:00:00,98690254,129,Color,Dolby Digital,1.85 : 1
Hotel Rwanda,17500000,23530892,100091,2004-12-26 00:00:00,33882243,121,Color,DTSDolby Digital,2.35 : 1
The Terminator,6400000,38371200,4020663,1984-10-28 00:00:00,78371200,107,Color,Mono(original release),1.85 : 1
Platoon,6000000,138530565,241080,1986-12-21 00:00:00,138545632,0,Color,Dolby StereoDolby Digital,1.85 : 1
La haine,0,0,0,1900-01-01 00:00:00,0,98,Black and White,Dolby Digital,1.85 : 1
The Passion of Joan of Arc,0,0,0,1900-01-01 00:00:00,0,110,Black and White,Silent,1.33 : 1
Before Sunset,2700000,5820649,219425,2004-07-04 00:00:00,15855022,80,Color,DTSDolby DigitalSDDS,1.85 : 1
The Best Years of Our Lives,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Pirates of the Caribbean: The Curse of the Black Pearl,140000000,305413918,46630690,2003-07-13 00:00:00,654264546,143,Color,Dolby Digital EXSDDSDTS,2.39 : 1
The Exorcist,11000000,233005644,8175666,2000-09-24 00:00:00,441306145,122,Color,Mono(original release),1.85 : 1
Jai Bhim,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Rush,38000000,26947624,187289,2013-09-22 00:00:00,96992516,123,Color,Dolby DigitalDatasatSDDS,2.35 : 1
Network,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
The Wizard of Oz,2777000,24668669,5354311,1998-11-08 00:00:00,25637669,0,None,None,None
Stand by Me,8000000,52287414,242795,1986-08-10 00:00:00,52290509,89,Color,Dolby AtmosDolby DigitalMono,1.85 : 1
The Incredibles,92000000,261441092,70467623,2004-11-07 00:00:00,631688498,115,Black and WhiteColor,Dolby Digital EX,2.39 : 12.35 : 1
Hachi: A Dog's Tale,0,0,0,1900-01-01 00:00:00,0,93,Color,DTSDolby DigitalSDDS,1.85 : 1
My Father and My Son,0,0,0,1900-01-01 00:00:00,0,112,Color,Dolby Digital,1.85 : 1
The Handmaiden,10000000000,2006788,92129,2016-10-23 00:00:00,37863670,145,Color,Dolby DigitalDolby AtmosDolby Surround 7.1,2.35 : 1
The Sound of Music,8200000,159287539,413497,2018-09-09 00:00:00,159475084,0,None,None,None
Into the Wild,15000000,18354356,212440,2007-09-23 00:00:00,56676733,148,Color,DTSDolby DigitalSDDS,2.39 : 1
To Be or Not to Be,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
The Battle of Algiers,800000,879794,64870,2004-01-11 00:00:00,962002,121,Black and White,Mono,1.85 : 1
The Grapes of Wrath,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Groundhog Day,14600000,71107962,12517672,1993-02-14 00:00:00,71108778,101,Color,Dolby StereoDolby DigitalDolby Atmos,1.85 : 1
Amores perros,2000000,5408467,61047,2001-04-01 00:00:00,20908467,154,Color,Dolby Digital,1.85 : 1
